Crop,Disease,Pathogen,Symptoms,Recommended_Medicine,Application_Notes,Severity
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Use preventive spray,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Use preventive spray,Severe
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Spray at early stage,Mild
Mango,Dieback,Lasiodiplodia theobromae,Drying branches,Copper Oxychloride,Spray at early stage,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Follow recommended dosage,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Follow recommended dosage,Mild
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Apply during high humidity,Mild
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Spray at early stage,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Repeat every 7-10 days,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Repeat every 7-10 days,Mild
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Spray at early stage,Severe
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Apply during high humidity,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Use preventive spray,Moderate
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Use preventive spray,Severe
Banana,Panama Disease,Fusarium oxysporum,Yellow wilting,Carbendazim,Use preventive spray,Mild
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Repeat every 7-10 days,Mild
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Spray at early stage,Moderate
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Follow recommended dosage,Mild
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Follow recommended dosage,Moderate
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Use preventive spray,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Apply during high humidity,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Use preventive spray,Moderate
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Repeat every 7-10 days,Severe
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Use preventive spray,Mild
Banana,Sigatoka,Mycosphaerella musicola,Yellow streaks,Mancozeb,Apply during high humidity,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Apply during high humidity,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Follow recommended dosage,Mild
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Repeat every 7-10 days,Mild
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Spray at early stage,Severe
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Use preventive spray,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Apply during high humidity,Severe
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Repeat every 7-10 days,Severe
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Repeat every 7-10 days,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Follow recommended dosage,Moderate
Banana,Bunchy Top,Banana bunchy top virus,Bunched leaves,Imidacloprid,Apply during high humidity,Mild
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Use preventive spray,Severe
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Repeat every 7-10 days,Mild
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Spray at early stage,Severe
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Follow recommended dosage,Mild
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Repeat every 7-10 days,Moderate
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Apply during high humidity,Severe
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Spray at early stage,Mild
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Use preventive spray,Moderate
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Follow recommended dosage,Severe
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Spray at early stage,Moderate
Grapes,Downy Mildew,Plasmopara viticola,Yellow oily spots,Metalaxyl + Mancozeb,Repeat every 7-10 days,Severe
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Repeat every 7-10 days,Mild
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Apply during high humidity,Mild
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Repeat every 7-10 days,Moderate
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Spray at early stage,Moderate
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Follow recommended dosage,Moderate
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Repeat every 7-10 days,Severe
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Spray at early stage,Mild
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Apply during high humidity,Moderate
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Use preventive spray,Severe
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Apply during high humidity,Severe
Grapes,Powdery Mildew,Uncinula necator,White powder,Wettable Sulfur,Follow recommended dosage,Mild
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Apply during high humidity,Mild
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Repeat every 7-10 days,Severe
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Use preventive spray,Moderate
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Apply during high humidity,Severe
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Follow recommended dosage,Severe
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Apply during high humidity,Moderate
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Follow recommended dosage,Moderate
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Follow recommended dosage,Mild
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Spray at early stage,Severe
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Repeat every 7-10 days,Mild
Grapes,Anthracnose,Elsinoe ampelina,Dark sunken spots,Carbendazim,Use preventive spray,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Spray at early stage,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply during high humidity,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply after first symptoms,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Use preventive spray,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply during high humidity,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Spray at early stage,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply after first symptoms,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply during high humidity,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Repeat every 7-10 days,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Apply after first symptoms,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Follow recommended dosage,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Repeat every 7-10 days,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Spray at early stage,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Use preventive spray,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Repeat every 7-10 days,Severe
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Follow recommended dosage,Mild
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Use preventive spray,Moderate
Tomato,Early Blight,Alternaria solani,Dark concentric spots on leaves,Chlorothalonil,Follow recommended dosage,Severe
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Use preventive spray,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply during high humidity,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply during high humidity,Severe
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply after first symptoms,Moderate
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply after first symptoms,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Repeat every 7-10 days,Mild
Tomato,Late Blight,Phytophthora infestans,Water-soaked lesions,Mancozeb,Apply after first symptoms,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply during high humidity,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Repeat every 7-10 days,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Spray at early stage,Moderate
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply during high humidity,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply after first symptoms,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply after first symptoms,Severe
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Use preventive spray,Mild
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Imidacloprid,Apply after first symptoms,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply during high humidity,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Spray at early stage,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Follow recommended dosage,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Use preventive spray,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply during high humidity,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply after first symptoms,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply after first symptoms,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Follow recommended dosage,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Use preventive spray,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Spray at early stage,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Use preventive spray,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply during high humidity,Mild
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Spray at early stage,Severe
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Repeat every 7-10 days,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Follow recommended dosage,Moderate
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Copper Oxychloride,Apply after first symptoms,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Spray at early stage,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply after first symptoms,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Spray at early stage,Mild
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Repeat every 7-10 days,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Repeat every 7-10 days,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply during high humidity,Mild
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply during high humidity,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Spray at early stage,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Use preventive spray,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Repeat every 7-10 days,Mild
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Use preventive spray,Mild
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply after first symptoms,Mild
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Follow recommended dosage,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Use preventive spray,Severe
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply after first symptoms,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Follow recommended dosage,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Apply during high humidity,Moderate
Tomato,Bacterial Spot,Xanthomonas spp.,Small dark leaf spots,Streptomycin,Follow recommended dosage,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply after first symptoms,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply after first symptoms,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Repeat every 7-10 days,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Spray at early stage,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Repeat every 7-10 days,Severe
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Use preventive spray,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Follow recommended dosage,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Follow recommended dosage,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Repeat every 7-10 days,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Use preventive spray,Severe
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply after first symptoms,Severe
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Use preventive spray,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply during high humidity,Severe
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Follow recommended dosage,Severe
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply during high humidity,Mild
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Spray at early stage,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Apply during high humidity,Moderate
Tomato,Fusarium Wilt,Fusarium oxysporum,Yellowing and wilting,Carbendazim,Spray at early stage,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply after first symptoms,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply after first symptoms,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply during high humidity,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Follow recommended dosage,Mild
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Follow recommended dosage,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Repeat every 7-10 days,Severe
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply after first symptoms,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Spray at early stage,Moderate
Potato,Late Blight,Phytophthora infestans,Brown leaf patches,Metalaxyl,Apply during high humidity,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Repeat every 7-10 days,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Follow recommended dosage,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Use preventive spray,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Spray at early stage,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply after first symptoms,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply during high humidity,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Spray at early stage,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Spray at early stage,Moderate
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply after first symptoms,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Repeat every 7-10 days,Moderate
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Use preventive spray,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply during high humidity,Moderate
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply after first symptoms,Moderate
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Repeat every 7-10 days,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Use preventive spray,Moderate
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Follow recommended dosage,Severe
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Apply during high humidity,Mild
Potato,Early Blight,Alternaria solani,Target-like leaf spots,Chlorothalonil,Follow recommended dosage,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Use preventive spray,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Spray at early stage,Severe
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Use preventive spray,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply after first symptoms,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply during high humidity,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Repeat every 7-10 days,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Repeat every 7-10 days,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Spray at early stage,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply after first symptoms,Severe
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Follow recommended dosage,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply after first symptoms,Moderate
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Repeat every 7-10 days,Severe
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Use preventive spray,Severe
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Follow recommended dosage,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply during high humidity,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Spray at early stage,Mild
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Follow recommended dosage,Severe
Potato,Black Scurf,Rhizoctonia solani,Black patches on tubers,Azoxystrobin,Apply during high humidity,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Spray at early stage,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Follow recommended dosage,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply after first symptoms,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply during high humidity,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Repeat every 7-10 days,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Follow recommended dosage,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Follow recommended dosage,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply after first symptoms,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Use preventive spray,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Spray at early stage,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Repeat every 7-10 days,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Spray at early stage,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Repeat every 7-10 days,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Use preventive spray,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply during high humidity,Moderate
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply after first symptoms,Mild
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Use preventive spray,Severe
Potato,Common Scab,Streptomyces scabies,Rough corky lesions,Mancozeb,Apply during high humidity,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Use preventive spray,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Spray at early stage,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Follow recommended dosage,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Repeat every 7-10 days,Mild
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Follow recommended dosage,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Repeat every 7-10 days,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply after first symptoms,Mild
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply during high humidity,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply after first symptoms,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Spray at early stage,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Use preventive spray,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply after first symptoms,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply during high humidity,Severe
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Spray at early stage,Mild
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Repeat every 7-10 days,Moderate
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Apply during high humidity,Mild
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Use preventive spray,Mild
Potato,Fusarium Dry Rot,Fusarium spp.,Dry rot in tubers,Carbendazim,Follow recommended dosage,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply during high humidity,Severe
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Repeat every 7-10 days,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply during high humidity,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Follow recommended dosage,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Use preventive spray,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Follow recommended dosage,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Use preventive spray,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply after first symptoms,Severe
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply during high humidity,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Follow recommended dosage,Severe
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Repeat every 7-10 days,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Spray at early stage,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply after first symptoms,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Spray at early stage,Severe
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Spray at early stage,Mild
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Apply after first symptoms,Moderate
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Use preventive spray,Severe
Corn,Northern Leaf Blight,Exserohilum turcicum,Long gray-green lesions,Azoxystrobin,Repeat every 7-10 days,Severe
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Apply after first symptoms,Moderate
Corn,Common Rust,Puccinia sorghi,Reddish-brown pustules,Tebuconazole,Follow recommended dosage,Mild
