Crop,Disease,Pathogen,Symptoms,Severity,Recommended_Medicine,Application_Notes
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Use preventive spray
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply after first symptoms
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Follow recommended dosage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Apply during high humidity
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Moderate,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Repeat every 7-10 days
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Severe,Imidacloprid,Spray at early stage
Tomato,Leaf Curl,Begomovirus,Upward curling leaves,Mild,Imidacloprid,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Use preventive spray
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Repeat every 7-10 days
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply after first symptoms
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Moderate,Copper Oxychloride,Spray at early stage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Apply during high humidity
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Mild,Copper Oxychloride,Follow recommended dosage
Tomato,Septoria Leaf Spot,Septoria lycopersici,Small circular leaf spots,Severe,Copper Oxychloride,Use preventive spray
